score_set	target_class	diagonal_target_cell	n_events	top1_exact_count	top3_count	top5_count	top1_exact_fraction	top3_fraction	top5_fraction	within_chebyshev_1_fraction	within_chebyshev_2_fraction	mean_chebyshev_distance	mean_target_rank
model1	126	True	15	0	1	1	0.0	0.06666666666666667	0.06666666666666667	0.13333333333333333	0.3333333333333333	4.4	28.066666666666666
model1	127	False	5	1	1	1	0.2	0.2	0.2	0.2	0.6	4.8	11.2
model1	128	False	5	1	2	3	0.2	0.4	0.6	1.0	1.0	0.8	4.0
model1	129	False	5	0	0	1	0.0	0.0	0.2	0.4	0.6	4.0	16.2
model1	130	True	15	0	0	3	0.0	0.0	0.2	0.3333333333333333	0.7333333333333333	3.3333333333333335	17.933333333333334
model1	131	False	5	1	2	2	0.2	0.4	0.4	0.6	0.6	3.0	14.0
model1	132	False	5	0	1	1	0.0	0.2	0.2	0.2	0.6	3.8	37.0
model1	133	True	15	0	2	4	0.0	0.13333333333333333	0.26666666666666666	0.4666666666666667	0.8	2.933333333333333	16.666666666666668
model1	134	False	5	3	3	4	0.6	0.6	0.8	0.6	0.8	2.8	3.2
model1	135	True	15	0	4	6	0.0	0.26666666666666666	0.4	0.4666666666666667	0.7333333333333333	3.8	20.4
model2	0	True	15	2	4	4	0.13333333333333333	0.26666666666666666	0.26666666666666666	0.13333333333333333	0.2	9.333333333333334	41.53333333333333
model2	1	False	5	1	2	2	0.2	0.4	0.4	0.4	0.4	6.4	56.4
model2	2	False	5	0	3	4	0.0	0.6	0.8	0.6	0.8	3.6	15.4
model2	3	False	5	1	2	2	0.2	0.4	0.4	0.4	0.6	3.2	13.8
model2	4	False	5	0	4	4	0.0	0.8	0.8	0.0	0.2	5.2	4.4
model2	5	False	5	1	2	3	0.2	0.4	0.6	0.8	0.8	1.4	16.0
model2	6	False	5	1	3	3	0.2	0.6	0.6	0.6	0.6	2.4	13.6
model2	7	False	5	2	2	3	0.4	0.4	0.6	0.4	0.6	3.4	4.8
model2	8	False	5	1	2	3	0.2	0.4	0.6	0.6	0.8	1.6	11.4
model2	9	False	5	1	1	2	0.2	0.2	0.4	0.2	0.6	4.8	10.2
model2	10	False	5	0	1	1	0.0	0.2	0.2	0.4	0.4	5.0	25.4
model2	11	False	5	1	2	3	0.2	0.4	0.6	0.6	0.8	3.2	14.2
model2	12	False	5	2	2	4	0.4	0.4	0.8	0.4	0.6	3.6	13.4
model2	13	False	5	0	2	3	0.0	0.4	0.6	0.2	0.6	3.0	5.4
model2	14	False	5	2	4	4	0.4	0.8	0.8	0.8	0.8	1.2	19.8
model2	15	False	5	2	3	3	0.4	0.6	0.6	0.4	0.4	4.0	11.2
model2	16	True	15	0	2	3	0.0	0.13333333333333333	0.2	0.4	0.4	6.466666666666667	61.93333333333333
model2	17	False	5	2	3	3	0.4	0.6	0.6	0.6	0.6	4.4	29.8
model2	18	False	5	1	1	2	0.2	0.2	0.4	0.4	0.4	4.6	18.4
model2	19	False	5	1	1	1	0.2	0.2	0.2	0.4	0.4	6.8	28.2
model2	20	False	5	0	0	0	0.0	0.0	0.0	0.2	0.4	5.4	41.6
model2	21	False	5	0	1	1	0.0	0.2	0.2	0.4	0.6	3.2	41.0
