process,event_uid,score,u,n_selected_jets,HT,mHH,pT_H1,pT_H2,pt5
signal,signal|166|1150,1.0,inf,5,351.8926086425781,316.4658557353413,95.20607423386329,28.47930901262682,49.10415267944336
signal,signal|22|1404,1.0,inf,6,796.15625,793.5213607898327,396.1608969264993,304.9552027110242,42.0155143737793
signal,signal|188|459,1.0,inf,5,667.4573364257812,834.7050226243898,265.16484561177833,245.39609401717917,33.19402313232422
signal,signal|62|1087,1.0,inf,5,439.7252502441406,415.1735509714403,207.6230841577052,70.79485082970896,37.79584503173828
signal,signal|189|827,1.0,inf,5,430.3157958984375,499.65777846089316,178.7575921090584,187.54229390835093,37.802066802978516
signal,signal|62|1093,1.0,inf,5,373.3960876464844,367.48115222542606,56.57988167785217,81.98669261078813,44.17008590698242
signal,signal|64|814,1.0,inf,5,408.9807434082031,540.0621074263041,126.01220757837967,74.45034145726804,51.56182861328125
signal,signal|64|368,1.0,inf,5,721.0667114257812,1613.0605511356935,206.93897432984855,133.3659712573726,68.52217102050781
signal,signal|62|1698,1.0,inf,5,407.18212890625,423.20010368747904,183.0356942185178,166.66299979088816,51.25429153442383
signal,signal|189|80,1.0,inf,6,399.95697021484375,837.4519083244802,129.05479246521665,79.70823665277611,45.550601959228516
signal,signal|64|33,1.0,inf,4,392.2203063964844,404.41529002558104,112.54617541690905,172.30102614342536,0.0
signal,signal|63|2420,1.0,inf,6,491.37982177734375,469.68710885220133,189.24622087053945,101.86727418423811,39.631805419921875
signal,signal|188|2331,1.0,inf,5,400.5240478515625,468.1011312957283,222.15676579353524,111.78040966464077,35.995487213134766
signal,signal|62|1835,1.0,inf,5,391.2490234375,489.9231717882097,159.8225689984523,113.62146825884865,43.065757751464844
signal,signal|63|1318,1.0,inf,6,760.7390747070312,845.7610200763538,69.47719660129539,210.4708446238783,64.94216918945312
signal,signal|63|849,1.0,inf,5,593.32666015625,573.6863187853254,283.4225300457454,167.9976414000329,40.135772705078125
signal,signal|61|442,1.0,inf,5,541.0338134765625,916.8942438317808,87.431619355255,115.59913762637918,33.58138656616211
signal,signal|60|1855,1.0,inf,5,366.6245422363281,377.04640776902187,110.60630535427696,161.11801320275436,30.41830062866211
signal,signal|193|125,1.0,inf,5,459.44964599609375,530.8068949628057,249.29620712023146,165.5066368623266,40.45893859863281
signal,signal|60|1573,1.0,inf,5,464.75665283203125,444.3995244739948,228.14292839536574,183.75789495639893,40.81788635253906
signal,signal|171|681,1.0,inf,5,397.5704650878906,440.86747235508915,172.7640677726856,157.11083695622645,45.655113220214844
signal,signal|186|2217,1.0,inf,5,549.7608032226562,762.9049168423852,217.43450858140224,181.4376400968546,49.393070220947266
signal,signal|24|194,1.0,inf,5,351.3542175292969,480.3276872993819,147.51647901366528,41.69554863452473,36.800201416015625
signal,signal|161|2323,1.0,inf,5,467.54486083984375,467.5740550444156,191.99102771626363,144.79013536443728,60.025760650634766
signal,signal|58|1463,1.0,inf,5,505.58123779296875,711.7950298132123,230.44094698879425,114.88367053146504,48.80171203613281
signal,signal|79|120,1.0,inf,5,436.01129150390625,625.4541731099807,198.73656832342448,154.8140175687591,63.61003494262695
signal,signal|191|91,1.0,inf,6,566.4266967773438,635.2021542256578,211.3029175916175,210.13339101057218,38.81818389892578
signal,signal|78|780,1.0,inf,5,569.395751953125,552.4735821976451,210.07023283478827,234.02601722839876,42.14569091796875
signal,signal|23|1793,1.0,inf,6,556.3919677734375,1402.1248573815233,158.04913107534975,193.65653268842405,35.382652282714844
signal,signal|169|2102,1.0,inf,4,582.1475830078125,615.3386479005204,199.98958898025865,225.64101801370003,0.0
signal,signal|187|127,1.0,inf,5,411.857666015625,397.23288719758494,200.4054699870544,146.8920306593327,52.92727279663086
signal,signal|23|1271,1.0,inf,5,343.47552490234375,324.3536164361445,163.1801733674394,103.38649985684387,43.79093933105469
signal,signal|75|1165,1.0,inf,5,631.798095703125,898.4538704133872,221.27609954646724,130.4270733858976,30.770910263061523
signal,signal|162|161,1.0,inf,5,437.00994873046875,527.1619213380653,212.32216190184556,163.5476404678807,33.155582427978516
signal,signal|23|1242,1.0,inf,5,499.7630615234375,820.3838717081807,133.48337260986975,159.9388458237127,33.16206741333008
signal,signal|74|2095,1.0,inf,5,488.03021240234375,845.5120193072368,62.31497855252965,37.51527298171078,42.44126892089844
signal,signal|73|2376,1.0,inf,6,487.8335266113281,459.73515590306374,252.35483483819795,140.5249193699119,35.34678268432617
signal,signal|187|1010,1.0,inf,5,407.9900207519531,400.11211161148077,140.13694768813653,133.43705649515215,45.489356994628906
