seed,qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
20,0.8,0.775,39.468664029382644,79999.12198556036,0.0004933637151231065,0.1395435656577613,0.004933637151231064,65,86,32.460314995638456,46.512026524773944
20,0.825,0.775,34.92371297953121,66008.8573575461,0.0005290761630725114,0.13593124756087555,0.005290761630725114,54,70,28.481171087076685,38.172956409603934
20,0.875,0.775,24.762764760647077,32022.194267439918,0.0007733000603842376,0.1383800834104715,0.0077330006038423766,34,33,19.906956301282325,17.211607585932732
20,0.85,0.775,34.453661441069656,43360.14877009341,0.0007945927866565167,0.16545884943084704,0.007945927866565167,48,48,27.743509885217122,25.698989200678817
21,0.875,0.75,33.00840773437499,39158.95725669154,0.0008429337767602192,0.1668049813296292,0.008429337767602192,59,30,24.83222989995949,16.42505593332714
21,0.85,0.75,42.1631736328125,53587.402751034046,0.0007868112927342594,0.182138576781011,0.007868112927342592,72,53,31.52397556480195,26.149177675040004
21,0.8,0.5,106.82947195312501,233825.97230522803,0.0004568759872991083,0.22092492043956105,0.0045687598729910826,152,213,78.15390045365115,107.03249672205499
21,0.825,0.525,88.51994015625003,178425.6025954245,0.0004961168064931058,0.209561995651119,0.004961168064931058,126,165,64.7619194151285,79.89640999264311
21,0.8,0.775,51.604377187500006,67539.40409604451,0.0007640632587476775,0.19856739057439807,0.007640632587476774,89,84,38.63358344669108,46.52810200839735
21,0.825,0.775,45.33411128906249,53649.57943553058,0.0008450040385412418,0.19572303677118824,0.008450040385412418,78,67,33.92859412851531,35.26013592326389
21,0.875,0.775,29.980688906249988,23265.03094458477,0.0012886588879963802,0.19655757738457585,0.0128865888799638,55,22,22.637301846555992,11.374596008105856
21,0.85,0.775,37.549985976562496,34882.306968164616,0.0010764765647763074,0.20105143598454728,0.010764765647763073,65,42,28.125616579301862,20.168097513782453
22,0.875,0.75,24.34196844553582,55921.84184901701,0.00043528552781320275,0.10293544862110131,0.004352855278132028,47,48,19.42104059824729,24.510760021782666
22,0.85,0.75,33.12554992053858,77439.4752868776,0.0004277605161685777,0.11903697884429683,0.004277605161685777,60,77,26.172823362177574,37.40045484668943
22,0.8,0.5,89.88348786171504,280129.03992611147,0.00032086458399822903,0.16982469767692523,0.00320864583998229,140,257,69.58639946084817,136.0763951416454
22,0.825,0.525,79.42483510429311,208804.2660131767,0.0003803793697360616,0.1738147540295749,0.003803793697360616,122,187,61.38448927052959,98.61204088248347
22,0.8,0.775,45.03571286281868,121205.73723868515,0.00037156420058014105,0.12935864349717802,0.00371564200580141,80,128,35.482694894369004,68.20814968730197
22,0.825,0.775,41.68557029798037,78092.53983239704,0.0005337970872434977,0.14916982270266996,0.005337970872434978,70,90,32.587290082959406,44.13596402661104
22,0.875,0.775,21.513468441673112,38122.066903364204,0.0005643311129012941,0.11018493358012363,0.005643311129012941,44,37,17.32663657847126,17.481619656348144
22,0.85,0.775,30.222529550822205,51363.81401577283,0.0005884011950814527,0.13335281214165792,0.0058840119508145276,56,60,23.959991348415038,26.938121542610833
23,0.875,0.75,33.50981490575396,46772.37901456367,0.0007164445258454761,0.15494490456714788,0.007164445258454761,53,42,26.34650351938251,19.579112302270417
23,0.85,0.75,36.60411273974867,60481.93948364035,0.000605207323909473,0.14883909807340254,0.00605207323909473,60,58,28.913386458065848,28.465155421707653
23,0.8,0.5,77.05692701719576,261525.8275130021,0.00029464366005443486,0.15067957727872092,0.0029464366005443484,137,226,61.55828295078855,97.51489209009237
23,0.825,0.525,64.67973568121695,201942.92222847947,0.0003202872126810065,0.14393085929807137,0.003202872126810065,109,163,51.281411658731415,68.79766939672963
23,0.8,0.775,43.16991025958993,115950.76128455247,0.00037231243487610666,0.12677813061459356,0.0037231243487610664,79,112,34.63470506630709,40.20498184370548
23,0.825,0.775,36.75499348048941,85655.56842624996,0.00042910220731458596,0.12558522537429004,0.004291022073145859,62,76,29.145078610315018,25.299418276701665
