replica	category_id	selected_structure_id	threshold_variable	threshold_value	supporting_outer_fold_count	supporting_outer_folds_json	is_nominal_structure
549	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.81105140707988	2	[1,3]	True
549	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.998785436981115	3	[0,2,3]	True
549	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	209.95713626123177	3	[0,2,3]	True
549	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	33.949491232005194	3	[0,2,3]	True
553	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	184.85591125488278	3	[0,2,4]	True
553	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.86803472432989	3	[0,2,4]	True
569	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.809818891966871	2	[0,2]	True
569	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	165.32778054129497	2	[0,2]	True
569	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	33.88577537750559	2	[0,2]	True
571	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	176.17979049682614	3	[2,3,4]	True
571	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.59795547155694	3	[2,3,4]	True
574	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	184.06794166564939	3	[0,1,4]	True
574	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.770968078614594	3	[0,1,4]	True
589	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	207.83951282501218	2	[0,2]	True
589	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	43.208215253967374	2	[0,2]	True
591	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	176.93290138244626	2	[1,2]	True
591	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.7017528033157	2	[1,2]	True
600	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	177.5573806762695	3	[0,1,2]	True
600	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.811683014187196	3	[0,1,2]	True
620	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	177.07338142395017	2	[1,3]	True
620	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.78609190627007	2	[1,3]	True
622	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	187.07213592529294	2	[1,3]	True
622	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	37.22016018492462	2	[1,3]	True
631	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	175.40518474578855	2	[0,4]	True
631	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.1392187665118	2	[0,4]	True
643	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	180.65910434722898	4	[0,1,3,4]	True
643	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.68200903793281	4	[0,1,3,4]	True
647	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	179.99345003068444	2	[1,3]	True
647	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.331015596759265	2	[1,3]	True
649	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	184.07944869995114	2	[1,4]	True
649	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	37.09337780732909	2	[1,4]	True
650	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	180.11075210571286	2	[1,3]	True
650	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.37249261386468	2	[1,3]	True
670	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	180.00415897369382	2	[0,4]	True
670	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.56648388985266	2	[0,4]	True
