model	false_positive_rate	true_positive_rate	threshold	weighting
bdt	0.23142950379387112	0.6317378347966622	0.661249041557312	development_hierarchical_weight
bdt	0.23346236869617223	0.6338481439186605	0.6594111919403076	development_hierarchical_weight
bdt	0.23442590824024645	0.6359419563355174	0.6572743058204651	development_hierarchical_weight
bdt	0.23766154352408983	0.6377562274499576	0.6557095646858215	development_hierarchical_weight
bdt	0.2383030120760301	0.6406586937857779	0.6539825201034546	development_hierarchical_weight
bdt	0.239843151959743	0.6430518475720596	0.652134895324707	development_hierarchical_weight
bdt	0.24108704265822375	0.6455634611944496	0.6499063968658447	development_hierarchical_weight
bdt	0.24409589837914633	0.6475226557019209	0.6483074426651001	development_hierarchical_weight
bdt	0.2471930842217243	0.6498043649295544	0.646160364151001	development_hierarchical_weight
bdt	0.2481128620211023	0.6514758454793762	0.6436922550201416	development_hierarchical_weight
bdt	0.2490984669091323	0.6533601269682303	0.6417216658592224	development_hierarchical_weight
bdt	0.25062936320252105	0.6564535543136347	0.6400764584541321	development_hierarchical_weight
bdt	0.2516318180659735	0.6585657839644622	0.6380086541175842	development_hierarchical_weight
bdt	0.2586875010928788	0.66091994917359	0.6362245082855225	development_hierarchical_weight
bdt	0.2594117283554589	0.6637509759516859	0.6342575550079346	development_hierarchical_weight
bdt	0.2613170371436723	0.6659583283012492	0.6325997710227966	development_hierarchical_weight
bdt	0.26690958226378064	0.6682381202692098	0.6309685111045837	development_hierarchical_weight
bdt	0.267679586665948	0.670795700456819	0.6289268732070923	development_hierarchical_weight
bdt	0.2691369816751141	0.6728541002851967	0.6271202564239502	development_hierarchical_weight
bdt	0.27262994001294133	0.6748109942916202	0.625460684299469	development_hierarchical_weight
bdt	0.27366787274357546	0.6771602345401131	0.6238107681274414	development_hierarchical_weight
bdt	0.27469205588541395	0.6785625001049602	0.6221701502799988	development_hierarchical_weight
bdt	0.2774053628014303	0.6803704495914927	0.6201980710029602	development_hierarchical_weight
bdt	0.2782431769587473	0.6824703451013748	0.6182839274406433	development_hierarchical_weight
bdt	0.2805777433019656	0.6847020392306764	0.6161293387413025	development_hierarchical_weight
bdt	0.2813168473613562	0.686841741913857	0.6138659715652466	development_hierarchical_weight
bdt	0.2822591096203742	0.6888435344503998	0.6115702986717224	development_hierarchical_weight
bdt	0.2838927914124721	0.6905160598743988	0.6099377274513245	development_hierarchical_weight
bdt	0.28550820927477794	0.6923673496301347	0.6085975766181946	development_hierarchical_weight
bdt	0.28709765817237354	0.693725197605067	0.6067717671394348	development_hierarchical_weight
bdt	0.2903460382926391	0.6956208794408919	0.6044865250587463	development_hierarchical_weight
bdt	0.29551178793155325	0.6979036718963124	0.6028193235397339	development_hierarchical_weight
bdt	0.29748057950650525	0.7007060929320078	0.6010512709617615	development_hierarchical_weight
bdt	0.2983640605230774	0.7030261471654812	0.5993817448616028	development_hierarchical_weight
bdt	0.30099418250652565	0.7047446608285965	0.5976635217666626	development_hierarchical_weight
bdt	0.30191236381011843	0.7071352980175174	0.5958674550056458	development_hierarchical_weight
bdt	0.3038553990011277	0.708909504644118	0.5936428308486938	development_hierarchical_weight
bdt	0.3056270338724681	0.710628948301492	0.5919727683067322	development_hierarchical_weight
bdt	0.3070703235973973	0.712614013315589	0.5899966955184937	development_hierarchical_weight
bdt	0.30850610849126664	0.7143412181251614	0.5881223678588867	development_hierarchical_weight
bdt	0.3098934166975653	0.7160697857476995	0.5863491892814636	development_hierarchical_weight
bdt	0.31157984853221654	0.7182892562472875	0.5848245620727539	development_hierarchical_weight
bdt	0.3124551182020076	0.7203135496222111	0.5833371877670288	development_hierarchical_weight
bdt	0.31321767650680354	0.7222832989165735	0.5816001892089844	development_hierarchical_weight
bdt	0.31412493873448283	0.7241050351034729	0.5792189240455627	development_hierarchical_weight
bdt	0.3311699541568272	0.7260848864051875	0.5772019028663635	development_hierarchical_weight
bdt	0.3318891997793963	0.7277731645142664	0.5755444169044495	development_hierarchical_weight
bdt	0.3337094218961444	0.7290782237301663	0.5738229155540466	development_hierarchical_weight
bdt	0.3346304739931954	0.7307501208681924	0.5716984868049622	development_hierarchical_weight
bdt	0.33641489325362006	0.7326538134647702	0.5698944926261902	development_hierarchical_weight
bdt	0.33750494094890343	0.734849069378659	0.5679140686988831	development_hierarchical_weight
bdt	0.3385527766502942	0.7373509596522921	0.5657575130462646	development_hierarchical_weight
bdt	0.3405332197233942	0.7385245275339727	0.5641161799430847	development_hierarchical_weight
bdt	0.343313526114431	0.7401616859910999	0.5623810887336731	development_hierarchical_weight
