index_source	index_ordinal	sample_class	process_or_mode	campaign	member_index	member_name	member_type	size_bytes	safe_relative_path	event_payload	nested_archive	artifact_types	allowlist_candidate	content_opened	content_extracted	status
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	12	./logs/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_compile_converter.log	regular_file	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	13	./logs/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_pythia_hepmc.log	regular_file	18738	True	False	False	parton_shower_card	True	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	14	./logs/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_delphes.log	regular_file	8274	True	False	False	delphes_log_or_configuration	True	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	15	./logs/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_event_summary.log	regular_file	1126	True	False	False	candidate_or_event_summary_log,generator_stdout_or_summary	True	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	16	./logs/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_candidates.log	regular_file	232	True	False	False	candidate_or_event_summary_log	True	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	17	./cards	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	18	./cards/proc_card_mg5.dat	regular_file	2070	True	False	False	proc_card	True	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	19	./cards/run_card.dat	regular_file	10380	True	False	False	run_card	True	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	20	./cards/pythia8_card_default.dat	regular_file	4434	True	False	False	parton_shower_card	True	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	21	./cards/pythia_card_default.dat	regular_file	350	True	False	False	parton_shower_card	True	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	22	./source	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	23	./source/unweighted_events.lhe.gz	regular_file	12876263	True	True	False	none	False	False	False	archive_header_indexed_only
scaleout	1	background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	1	.	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
scaleout	1	background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	2	./root	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
scaleout	1	background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	3	./root/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_delphes.root	regular_file	878486001	True	True	False	none	False	False	False	archive_header_indexed_only
scaleout	1	background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	4	./parquet	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
scaleout	1	background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	5	./parquet/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_event_summary.parquet	regular_file	245084	True	True	False	generator_stdout_or_summary	False	False	False	archive_header_indexed_only
