sample	selected_order_index	root_event_entry	p_signal	fit_success	p1_x_mean_gev	p1_y_mean_gev	p1_physical	p1_in_target_region	p2_amp	p2_x_mean_gev	p2_y_mean_gev	p2_valid	p2_physical	p2_in_target_region	bg_amp	reasons
ZH	99	556	0.9982865452766418	True	68.52699915572381	124.60839559501663	True	False	0.07559950253447849	211.09522553211667	175.41074518923602	True	False	False	0.02230546547325476	secondary_nonphysical,one_or_more_parameters_at_bound
ZH	106	579	0.9996736645698547	True	95.67196012667819	154.5365864722957	True	False	0.006913743813979755	191.27292252129868	94.74055120933559	True	True	False	0.0002925704284682873	one_or_more_parameters_at_bound
ZH	111	612	0.9989895820617676	True	87.39279016797353	95.6386922366091	True	False	0.010513038778819579	213.78976753415972	101.88528403389118	True	False	False	0.0008207110113786235	secondary_nonphysical,one_or_more_parameters_at_bound
ZH	112	616	0.9995667934417725	True	93.0472426572785	130.99770424026968	True	True	0.0031028189442336455	125.58896416694168	141.49288528836215	True	True	False	0.0014097796988576982	one_or_more_parameters_at_bound
ZH	116	639	0.9993684887886047	True	82.8202793466026	185.9056934376097	True	False	0.004581361499587793	113.33618487398002	84.65939559849843	True	True	True	0.00012597890660014723	one_or_more_parameters_at_bound
ZH	117	647	0.998552143573761	True	114.50834246650716	184.6096452026353	True	False	0.005991088759312903	117.09319846755032	134.8912495166968	True	True	False	0.003406956392041806	one_or_more_parameters_at_bound
ZH	120	663	0.9993524551391602	True	108.152632549041	134.19520633147832	True	False	0.006086257567076641	189.93409430186512	194.03117472250247	True	True	False	0.008110405338785293	one_or_more_parameters_at_bound
ZH	123	672	0.9986661076545715	True	117.82742115859628	152.79973447760653	True	False	0.0	500.0	500.0	False	False	False	0.0006789001374236735	secondary_invalid_or_sentinel
ZH	124	677	0.9984039068222046	True	196.25418250799663	195.43119270375425	True	False	0.04050732514776056	158.2476710330599	197.48094953065512	True	True	False	0.01546408537067293	one_or_more_parameters_at_bound
ZH	125	692	0.9997454881668091	True	94.04217835438818	113.70293964349642	True	True	0.002563999583869671	107.54411718407587	130.60060564779815	True	True	False	8.015690010209229e-05	one_or_more_parameters_at_bound
ZH	126	693	0.997621476650238	True	59.063701202242896	83.72283580769977	True	False	0.06711256992683452	84.61644157617853	122.12350718175678	True	True	True	0.004268868678969399	one_or_more_parameters_at_bound
ZH	127	695	0.9981909394264221	True	113.18543694527357	120.05919591515999	True	False	0.005470906562297617	152.7343652843236	116.11902365179509	True	True	False	0.0008734350990440402	one_or_more_parameters_at_bound
ZH	129	708	0.9988719820976257	True	83.69653292675956	168.63313266654202	True	False	0.0	500.0	500.0	False	False	False	0.0010620938349671634	secondary_invalid_or_sentinel
ZH	130	709	0.9991720914840698	True	86.73889095196502	117.34634593650654	True	True	0.008897545537633136	166.5613965366269	189.26049013829925	True	True	False	0.008377813170996546	one_or_more_parameters_at_bound
ZH	132	719	0.9991832971572876	True	118.65561100436202	146.9280626373014	True	False	0.0024333359710649923	205.78728691318565	105.49817564419833	True	False	False	0.0005195852930757443	secondary_nonphysical,one_or_more_parameters_at_bound
ZH	133	721	0.9985327124595642	True	107.15769442085174	169.3458426875262	True	False	0.0	500.0	500.0	False	False	False	0.008697802787347827	secondary_invalid_or_sentinel
ZH	135	727	0.999716579914093	True	96.47493645981072	128.96223799286835	True	True	0.002748249670425163	153.9208157985547	155.0860840929248	True	True	False	0.0010090800628295231	one_or_more_parameters_at_bound
ZH	137	739	0.9997925758361816	True	77.19687581635735	130.05252448932433	True	True	0.5950180807970158	79.39567919507422	170.4231470756383	True	True	False	0.0005506146381582462	one_or_more_parameters_at_bound
ZH	139	752	0.9994361400604248	True	93.80593263358722	121.79889225989201	True	True	6.389262925047231	146.9247987052431	91.7375151412356	True	True	False	0.00010191622651710837	one_or_more_parameters_at_bound
ZH	140	765	0.9976727366447449	True	80.88753015931142	114.06657331188084	True	True	0.18894188209373747	173.76750800165382	68.75379553283587	True	True	False	0.0001441077943887551	one_or_more_parameters_at_bound
ZH	142	771	0.9996399283409119	True	88.81445599348447	133.14882010455733	True	True	0.03168483072478703	92.67789257410548	193.17962300768204	True	True	False	0.000723894392099507	one_or_more_parameters_at_bound
ZH	145	788	0.9977481365203857	True	88.3211526920254	135.599956355273	True	True	0.0	500.0	500.0	False	False	False	0.0007778575167631546	secondary_invalid_or_sentinel,one_or_more_parameters_at_bound
ZH	146	803	0.9987124800682068	True	121.00374580987872	81.50621247524428	True	True	0.0	500.0	500.0	False	False	False	0.00754205049182467	secondary_invalid_or_sentinel,one_or_more_parameters_at_bound
ZH	149	818	0.999437153339386	False	95.0	165.0	False	False	0.010127125100159375	96.21175145609655	195.256403745649	True	True	False	0.014141910722206876	primary_fit_failed
ZH	150	820	0.9999391436576843	True	87.1654975464624	127.67335185516686	True	True	0.00872016903988266	154.8919376448565	85.83351882641598	True	True	False	0.00032142891954604517	one_or_more_parameters_at_bound
ZH	152	831	0.9971848726272583	True	82.3137102915765	122.50198362967642	True	True	0.0	500.0	500.0	False	False	False	0.0002576720008486205	secondary_invalid_or_sentinel,one_or_more_parameters_at_bound
ZH	154	844	0.9997392296791077	True	87.8725642537591	133.03532166681404	True	True	0.0	500.0	500.0	False	False	False	7.895503515944436e-05	secondary_invalid_or_sentinel
ZH	155	848	0.9998118877410889	True	71.57232366049305	111.48650539443537	True	False	0.0	500.0	500.0	False	False	False	6.111012080129203e-05	secondary_invalid_or_sentinel,one_or_more_parameters_at_bound
ZH	156	850	0.9988966584205627	True	99.04626687631279	167.92827653718416	True	False	0.0	500.0	500.0	False	False	False	2.486864359663998e-38	secondary_invalid_or_sentinel,one_or_more_parameters_at_bound
ZH	157	853	0.9998562932014465	True	100.90987231723093	146.42650890025382	True	False	0.5237197241593967	182.1721514977273	107.30637950414553	True	True	False	0.001014052381768719	one_or_more_parameters_at_bound
ZH	159	855	0.9999000430107117	True	88.6171082304275	132.77499751092273	True	True	0.008650872346121675	83.22639998120437	154.50605762899374	True	True	False	0.00018526162689760489	one_or_more_parameters_at_bound
ZH	160	856	0.999862551689148	True	85.34846926803726	123.3179553392918	True	True	0.0034833187709281867	143.3642423548108	84.87442173849969	True	True	False	9.852053933381154e-05	one_or_more_parameters_at_bound
ZH	163	871	0.9984347820281982	True	86.36114529608129	166.03442066149734	True	False	0.0	500.0	500.0	False	False	False	6.330568489062157e-15	secondary_invalid_or_sentinel
ZH	164	877	0.9993454217910767	True	122.96779096410276	140.32471417688757	True	False	0.0	500.0	500.0	False	False	False	0.002104832545489004	secondary_invalid_or_sentinel,one_or_more_parameters_at_bound
ZH	165	880	0.9993870258331299	True	83.59365021576386	140.77317372765145	True	False	0.018306195073046323	139.17984775249275	163.97104512131168	True	True	False	0.008668437332436132	one_or_more_parameters_at_bound
ZH	167	892	0.9994765520095825	True	79.15847104978388	90.22328767896968	True	False	1.1547500160397177	93.5748283881045	221.81122339477605	True	False	False	0.002547028333588291	secondary_nonphysical
ZH	169	908	0.9995219707489014	True	73.25489627899249	87.68733972564664	True	False	0.0	500.0	500.0	False	False	False	7.085877340977873e-07	secondary_invalid_or_sentinel
ZH	170	920	0.9972743988037109	True	95.16050060117604	118.68712204586735	True	True	0.05870541370932891	120.22546553915024	188.0392215657263	True	True	False	0.004057638495733213	one_or_more_parameters_at_bound
ZH	171	924	0.9988447427749634	True	95.93086209112904	129.14716437454302	True	True	0.016242213382586357	57.63340088066978	126.52003853511681	True	True	False	0.00018089481792072466	one_or_more_parameters_at_bound
ZH	172	930	0.9996677041053772	True	71.22293354757849	114.56180662337614	True	False	0.0028789406019050054	72.01517285388928	150.54912717465956	True	True	False	0.00011854921283407303	one_or_more_parameters_at_bound
ZH	173	931	0.9992785453796387	False	95.0	125.0	False	False	0.0	500.0	500.0	False	False	False	0.014024452638726674	primary_fit_failed,secondary_invalid_or_sentinel
ZH	174	933	0.9993738532066345	True	78.0763655851484	125.01541592870657	True	True	0.019846006360678153	195.4365680465666	122.55614329593122	True	True	False	0.002497011468703656	one_or_more_parameters_at_bound
ZH	175	936	0.9993372559547424	True	100.92560499324466	121.43731753834572	True	True	0.002955883149086907	132.16858274307285	126.88833303473737	True	True	False	1.0856676226832666e-25	one_or_more_parameters_at_bound
