sample,version,event,mbb1,mbb2,mbb_avg,mass_distance_hh,in_hh_window_90_150
vbf_hh4b_smoke1000,AK4AK8,642,93.6941856548155,127.24144244638417,110.46781405059983,33.54725679156867,True
vbf_hh4b_smoke1000,AK4AK8,649,161.60301368040885,206.2880800646656,183.94554687253722,117.89109374507444,False
vbf_hh4b_smoke1000,AK4AK8,666,39.87536052726976,117.07900086600966,78.47718069663972,93.04563860672057,False
vbf_hh4b_smoke1000,AK4AK8,674,115.57704831667546,120.70547603912694,118.1412621779012,13.717475644197606,True
vbf_hh4b_smoke1000,AK4AK8,682,100.01052726623983,129.0230282151518,114.51677774069583,29.012500948911978,True
vbf_hh4b_smoke1000,AK4AK8,721,265.7361403625166,683.4583997677984,474.5972700651575,699.194540130315,False
vbf_hh4b_smoke1000,AK4AK8,732,83.22164617034306,198.00976152485555,140.61570384759932,114.78811535451248,False
vbf_hh4b_smoke1000,AK4AK8,735,80.8647558163383,172.32433305072647,126.59454443353238,91.45957723438816,False
vbf_hh4b_smoke1000,AK4AK8,737,84.60182204605653,132.7467218217466,108.67427193390157,48.14489977569008,False
vbf_hh4b_smoke1000,AK4AK8,740,167.52251899700914,286.16125237511255,226.84188568606083,203.6837713721217,False
vbf_hh4b_smoke1000,AK4AK8,747,89.28378848985048,130.54243961297206,109.91311405141127,41.25865112312158,False
vbf_hh4b_smoke1000,AK4AK8,756,163.21900249996168,248.82682785434287,206.02291517715227,162.04583035430454,False
vbf_hh4b_smoke1000,AK4AK8,766,106.80660168064027,145.32772331748157,126.06716249906091,38.5211216368413,True
vbf_hh4b_smoke1000,AK4AK8,770,100.81690501118001,119.31981504867834,110.06836002992918,29.863279940141652,True
vbf_hh4b_smoke1000,AK4AK8,791,88.67475196695497,135.59307081824065,112.13391139259781,46.918318851285676,False
vbf_hh4b_smoke1000,AK4AK8,825,175.21494905101613,293.712516387243,234.46373271912955,218.92746543825913,False
vbf_hh4b_smoke1000,AK4AK8,841,79.1959050231711,118.48448152679315,98.84019327498211,52.31961345003576,False
vbf_hh4b_smoke1000,AK4AK8,848,96.70835660624576,113.06858077223471,104.88846868924023,40.22306262151953,True
vbf_hh4b_smoke1000,AK4AK8,855,101.67442752851905,121.59345307296346,111.63394030074124,26.732119398517497,True
vbf_hh4b_smoke1000,AK4AK8,858,107.93957665142217,134.52639344953732,121.23298505047975,26.58681679811515,True
vbf_hh4b_smoke1000,AK4AK8,863,125.64692754504038,147.94172734222195,136.79432744363118,23.588654887262337,True
vbf_hh4b_smoke1000,AK4AK8,867,86.742850082338,313.33840923407655,200.04062965820728,226.59555915173854,False
vbf_hh4b_smoke1000,AK4AK8,938,99.4151192520907,109.06426731999667,104.23969328604369,41.52061342791262,True
vbf_hh4b_smoke1000,AK4AK8,953,106.81047392116066,122.68108892888046,114.74578142502057,20.50843714995888,True
vbf_hh4b_smoke1000,AK4AK8,958,94.16803869323445,127.0132910099214,110.59066485157793,32.84525231668695,True
vbf_hh4b_smoke1000,AK4AK8,964,104.41273444830234,125.49751789295966,114.955126170631,21.08478344465732,True
vbf_hh4b_smoke1000,AK4AK8,966,56.605779752796636,144.2999711252524,100.45287543902452,87.69419137245576,False
vbf_hh4b_smoke1000,AK4AK8,976,92.90955785723978,173.89303613513445,133.4012969961871,80.98347827789468,False
vbf_hh4b_smoke1000,AK4AK8,977,112.1775221392623,171.37674992425767,141.77713603176,59.19922778499537,False
vbf_hh4b_smoke1000,AK4AK8,981,88.26833293944512,118.71055193538932,103.48944243741721,43.021115125165565,False
vbf_hh4b_smoke1000,AK4AK8,994,96.91953990546789,99.22614522282706,98.07284256414746,53.85431487170506,True
ttbar_10k,R05,43,42.220559830324106,106.55439524925531,74.3874775397897,101.22504492042059,False
ttbar_10k,R05,65,45.05224935400596,263.60966815343727,154.3309587537216,218.5574187994313,False
ttbar_10k,R05,207,59.64119311080327,129.64339203915222,94.64229257497774,70.00219892834895,False
ttbar_10k,R05,233,94.08501964098585,246.38100669752578,170.2330131692558,152.29598705653993,False
ttbar_10k,R05,415,131.52683497918304,176.1907578977478,153.85879643846542,57.71759287693084,False
ttbar_10k,R05,633,89.96965978751858,158.4535905641507,124.21162517583463,68.4839307766321,False
ttbar_10k,R05,759,115.09638008858853,298.2286344942333,206.66250729141092,183.13225440564474,False
ttbar_10k,R05,1069,120.08437151480997,296.8632097517374,208.47379063327367,176.7788382369274,False
ttbar_10k,R05,1146,62.49443275380981,252.19904588311874,157.34673931846427,189.70461312930894,False
ttbar_10k,R05,1190,104.18014835557467,128.46477365526889,116.32246100542179,24.284625299694213,True
ttbar_10k,R05,1599,91.05222373672073,93.32226141972158,92.18724257822116,65.62551484355768,True
ttbar_10k,R05,1711,113.97479145935031,168.66543163475913,141.32011154705472,54.69064017540882,False
ttbar_10k,R05,1780,123.73246449308087,153.61633871744587,138.67440160526337,29.883874224365,False
ttbar_10k,R05,2057,102.0215138363153,128.1523724318079,115.08694313406158,26.130858595492597,True
ttbar_10k,R05,2623,31.549669157051586,132.95356568768455,82.25161742236807,101.40389653063296,False
ttbar_10k,R05,2639,187.43078513700263,412.5030815213977,299.9669333292002,349.93386665840035,False
ttbar_10k,R05,2701,48.1827154386847,166.37513654815587,107.27892599342029,118.19242110947116,False
ttbar_10k,R05,2878,43.5927874910328,72.2667234698587,57.92975548044575,134.1404890391085,False
ttbar_10k,R05,3052,82.7881355160292,137.52770139893602,110.15791845748261,54.73956588290682,False
ttbar_10k,R05,3370,52.97350628334556,103.13762777668707,78.0555670300163,93.88886593996737,False
ttbar_10k,R05,4061,81.25158468405624,105.03905698608212,93.14532083506919,63.709358329861644,False
ttbar_10k,R05,4170,146.73471498284613,233.5882575612403,190.16148627204322,130.32297254408644,False
ttbar_10k,R05,4801,53.31145190992417,58.23891639698736,55.77518415345577,138.44963169308846,False
ttbar_10k,R05,4916,94.46701011789465,187.79175195846713,141.1293810381809,93.32474184057249,False
ttbar_10k,R05,4940,114.72525079672977,118.40617685337233,116.56571382505105,16.868572349897903,True
ttbar_10k,R05,4959,105.1077663029852,216.43846240907237,160.77311435602877,111.33069610608717,False
ttbar_10k,R05,5420,85.11395086002248,133.64752647803206,109.38073866902727,48.53357561800958,False
ttbar_10k,R05,5509,131.55319813439033,186.63258849682052,159.0928933156054,68.18578663121085,False
