seed,tail_region,analysis_sample,rows,expected_events_450fb,fraction_of_tail_background
7,top_0.1pct_background_tail,qcd_bbbb_iht600plus_20000,1,115.4901298831142,0.010813037268950151
7,top_0.1pct_background_tail,ttbar_200k,2,6610.734640930414,0.6189457066146373
7,top_0.2pct_background_tail,Zbbbb_100k,3,265.51731245070425,0.016756543191179536
7,top_0.2pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
7,top_0.2pct_background_tail,qcd_bbbb_iht200to400_combined120k,3,4089.2630885918543,0.2580694755141715
7,top_0.2pct_background_tail,qcd_bbbb_iht400to600_20000,2,1228.2372017204762,0.07751287300131779
7,top_0.2pct_background_tail,qcd_bbbb_iht600plus_20000,3,346.4703896493426,0.02186541433038151
7,top_0.2pct_background_tail,ttbar_200k,3,9916.10196139562,0.6257956939629498
7,top_0.5pct_background_tail,Zbbbb_100k,8,708.0461665352113,0.01970562067871413
7,top_0.5pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
7,top_0.5pct_background_tail,qcd_bbbb_iht200to400_combined120k,14,19083.227746761982,0.5311049830879965
7,top_0.5pct_background_tail,qcd_bbbb_iht400to600_20000,4,2456.4744034409523,0.0683660968578533
7,top_0.5pct_background_tail,qcd_bbbb_iht600plus_20000,4,461.9605195324568,0.012856815270951116
7,top_0.5pct_background_tail,ttbar_200k,4,13221.469281860827,0.367966484104485
7,top_1.0pct_background_tail,Zbbbb_100k,11,973.5634789859156,0.013739989651884832
7,top_1.0pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
7,top_1.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,31,42255.71858211581,0.596358787673493
7,top_1.0pct_background_tail,qcd_bbbb_iht400to600_20000,11,6755.304609462619,0.09533822645650934
7,top_1.0pct_background_tail,qcd_bbbb_iht600plus_20000,9,1039.4111689480278,0.014669304070727193
7,top_1.0pct_background_tail,ttbar_200k,6,19832.203922791243,0.27989369214738546
7,top_2.0pct_background_tail,Zbbbb_100k,20,1770.1154163380288,0.012394211196762995
7,top_2.0pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
7,top_2.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,65,88600.7002528235,0.6203752484040749
7,top_2.0pct_background_tail,qcd_bbbb_iht400to600_20000,23,14124.727819785476,0.09890025140698723
