variant	category	feature_order	feature	feature_origin	explicit_dijet_mass_plane_feature	mhh_retained	training_in_this_gate	status
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	18	drbb2	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	19	j1_pt	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	20	abs_j1_eta	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	21	j1_mass	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	22	j2_pt	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	23	abs_j2_eta	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	24	j2_mass	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	25	j3_pt	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	26	abs_j3_eta	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	27	j3_mass	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	28	j4_pt	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	29	abs_j4_eta	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	30	j4_mass	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	31	dr_j1_j2	cms_inspired_derived	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	32	dr_j1_j3	cms_inspired_derived	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	33	dr_j1_j4	cms_inspired_derived	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	34	dr_j2_j3	cms_inspired_derived	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	35	dr_j2_j4	cms_inspired_derived	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	36	dr_j3_j4	cms_inspired_derived	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	37	min_candidate_pair_dr	cms_inspired_derived	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	38	max_candidate_pair_dr	cms_inspired_derived	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	39	mean_candidate_pair_dr	cms_inspired_derived	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	40	min_cross_higgs_pair_dr	cms_inspired_derived	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	41	max_cross_higgs_pair_dr	cms_inspired_derived	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	42	candidate_vector_pt_sum	cms_inspired_derived	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	43	cos_theta_star_h1_in_hh_rest	cms_inspired_derived	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	44	abs_cos_theta_star_h1_in_hh_rest	cms_inspired_derived	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	45	cos_theta_j1_in_h1_rest	cms_inspired_derived	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	46	abs_cos_theta_j1_in_h1_rest	cms_inspired_derived	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	47	cos_theta_j_h2_leading_in_h2_rest	cms_inspired_derived	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	48	abs_cos_theta_j_h2_leading_in_h2_rest	cms_inspired_derived	false	false	false	pass
