variable	category	bin_low	bin_high	central_value	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind	variant
mhh	5	260.0	320.0	0.34053424368534396	0.3306458049498028	0.1655723773291078	0.48042050924681606	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	5	320.0	380.0	0.011924435815916583	0.012179019764411426	0.00883814889843921	0.01677110449651739	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	5	380.0	440.0	0.12216845077141456	0.11374133534159633	0.048716663215244586	0.20251950267142232	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	5	440.0	500.0	0.04913889963343407	0.04564809841834512	0.005148123095610098	0.09644861654138959	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	5	500.0	560.0	0.049560700112720894	0.04771467558893913	0.006057037234952278	0.09931218790407485	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	5	560.0	620.0	0.07158263317227129	0.06670526821330855	0.003481424860856432	0.13873523244029023	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	5	620.0	680.0	0.0719299260111143	0.06966496511663424	0.003650279494336977	0.14501786102313224	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	5	680.0	740.0	0.009065958312532355	0.008812358739462777	0.004753630432772172	0.015377037199612146	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	5	740.0	800.0	0.11895569059075813	0.11174149680167261	0.04070133540569585	0.195946944660999	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	5	800.0	860.0	0.0881827289378479	0.0790620612728003	0.001627421271074167	0.1622956902893427	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	5	860.0	920.0	0.0008423434261075939	0.0007927820789403724	0.00026382828906051963	0.0015450432995793902	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	5	920.0	980.0	0.003961829678061422	0.0034347993027656425	0.0007873157376392733	0.007417958998731426	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	5	980.0	1040.0	0.00408774904282493	0.003911729106044341	0.000999659201127343	0.008122770589558624	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	5	1040.0	1100.0	0.01997035939293518	0.018793055012708986	0.002272998051803226	0.042212866941581606	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	5	1100.0	1160.0	0.0011471038441143438	0.001118055985108096	0.00048729306272495313	0.00210209651613861	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	5	1160.0	1220.0	0.0004801385664910068	0.00045572142490074433	1.2148864041284021e-05	0.0009782407510298696	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	5	1220.0	1280.0	0.017530021893110453	0.016461816894675064	2.6428112242248212e-05	0.03795580729322977	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
